State/UT,No schooling,<5 yrs,5-7 yrs,8-9 yrs,10-11 yrs,12+ yrs,Total,Literate %
India,10.7,6.3,13.0,19.8,18.0,32.2,100.0,84.4
Chandigarh,5.6,2.2,6.5,21.2,20.3,44.2,100.0,90.2
Delhi,6.8,2.7,9.4,20.3,19.4,41.5,100.0,90.2
Haryana,5.9,2.6,11.6,17.7,21.6,40.6,100.0,91.5
Himachal Pradesh,3.6,2.6,10.1,12.4,23.4,47.9,100.0,92.8
Jammu & Kashmir,9.1,0.6,4.0,18.1,22.6,45.6,100.0,90.2
Ladakh,8.1,0.6,5.3,13.2,20.7,52.1,100.0,92.7
Punjab,8.0,3.3,11.0,19.1,22.2,36.5,100.0,86.8
Rajasthan,8.9,3.2,13.1,22.8,18.2,33.7,100.0,88.9
Uttarakhand,5.7,3.0,8.1,23.4,17.1,42.7,100.0,89.3
Chhattisgarh,10.0,5.3,13.8,29.5,14.1,27.4,100.0,82.6
Madhya Pradesh,11.4,4.8,15.7,28.1,14.5,25.4,100.0,81.3
Uttar Pradesh,12.5,2.8,11.9,24.2,15.0,33.6,100.0,82.0
Bihar,18.2,7.2,12.9,18.9,15.3,27.5,100.0,76.4
Jharkhand,14.3,4.8,12.2,22.2,17.9,28.6,100.0,81.3
Odisha,9.7,7.5,16.3,27.9,16.8,21.7,100.0,84.6
West Bengal,13.0,14.5,18.2,19.6,12.8,21.8,100.0,80.2
Arunachal Pradesh,13.5,6.1,11.6,20.5,17.0,31.2,100.0,85.7
Assam,12.5,10.3,14.7,26.9,12.5,23.0,100.0,81.6
Manipur,4.0,3.0,9.3,24.9,20.7,38.1,100.0,93.3
Meghalaya,19.7,12.2,14.9,18.6,14.5,20.2,100.0,83.2
Mizoram,3.4,4.2,14.4,28.9,17.8,31.3,100.0,97.0
Nagaland,5.7,5.7,12.0,23.6,16.9,36.1,100.0,92.2
Sikkim,7.9,8.4,11.7,17.0,15.3,39.7,100.0,88.6
Tripura,5.6,11.8,15.3,38.0,13.1,16.3,100.0,83.6
Dadra & Nagar Haveli and Daman & Diu,5.3,6.2,13.5,25.6,13.8,35.6,100.0,92.5
Goa,3.2,0.3,5.0,14.8,22.7,53.9,100.0,94.3
Gujarat,8.6,5.7,14.6,25.6,17.6,27.9,100.0,87.3
Maharashtra,4.5,5.1,9.2,20.2,18.9,42.1,100.0,90.2
Andaman & Nicobar Islands,9.4,3.6,16.8,17.9,13.0,39.3,100.0,88.2
Andhra Pradesh,18.0,5.8,17.3,11.0,19.4,28.5,100.0,76.5
Karnataka,10.8,5.7,12.4,14.7,22.9,33.7,100.0,85.2
Kerala,2.3,2.0,6.1,16.3,30.7,42.5,100.0,97.1
Lakshadweep,0.0,1.5,4.0,13.6,29.5,51.4,100.0,98.6
Puducherry,3.4,3.0,7.5,11.9,14.5,59.7,100.0,93.8
Tamil Nadu,4.0,3.8,14.3,18.8,18.9,40.2,100.0,90.7
Telangana,14.7,2.9,12.3,8.9,23.4,37.7,100.0,82.0
