State/UT,No Schooling,<5 yrs,5-7 yrs,8-9 yrs,10-11 yrs,12+ yrs,Total,Literate (%)
India,22.6,5.2,13.4,17.8,15.2,25.9,100.0,71.5
Chandigarh,12.4,1.5,11.5,15.0,19.2,40.4,100.0,78.7
Delhi,13.1,2.7,9.6,14.9,16.3,43.4,100.0,83.7
Haryana,15.9,2.9,14.4,17.2,16.4,33.1,100.0,79.7
Himachal Pradesh,7.4,2.3,11.9,12.6,21.2,44.7,100.0,90.7
Jammu & Kashmir,21.3,1.2,6.6,19.7,18.3,33.0,100.0,74.3
Ladakh,22.1,1.2,7.7,18.9,18.2,31.8,100.0,74.6
Punjab,15.3,2.0,12.3,14.4,19.9,36.1,100.0,79.4
Rajasthan,31.3,3.6,14.7,16.9,11.8,21.7,100.0,64.7
Uttarakhand,16.9,2.5,11.3,18.9,13.7,36.7,100.0,79.8
Chhattisgarh,22.2,4.4,13.5,23.0,13.5,23.4,100.0,72.5
Madhya Pradesh,25.5,4.7,14.8,25.7,11.0,18.3,100.0,65.4
Uttar Pradesh,28.6,2.3,11.9,17.9,11.7,27.6,100.0,66.1
Bihar,38.5,5.0,11.2,16.4,13.0,15.8,100.0,55.0
Jharkhand,31.7,5.0,11.7,18.3,14.2,19.0,100.0,61.7
Odisha,21.9,8.1,14.9,22.2,15.8,17.2,100.0,69.5
West Bengal,18.5,11.6,15.4,21.6,14.7,18.3,100.0,72.9
Arunachal Pradesh,23.6,5.2,12.0,19.8,16.4,23.0,100.0,71.3
Assam,18.6,9.3,13.8,28.7,12.4,17.1,100.0,75.1
Manipur,8.1,5.6,10.8,27.4,17.8,30.3,100.0,85.3
Meghalaya,12.6,12.6,17.9,21.8,14.8,20.4,100.0,87.6
Mizoram,5.3,6.7,14.1,24.0,20.0,29.9,100.0,94.0
Nagaland,8.8,6.5,14.9,25.4,16.1,28.3,100.0,83.4
Sikkim,7.1,8.1,16.7,19.1,15.0,34.0,100.0,87.1
Tripura,11.4,10.4,18.1,36.9,11.3,12.0,100.0,78.3
Dadra & Nagar Haveli and Daman & Diu,21.0,6.9,13.5,22.9,13.6,22.2,100.0,75.6
Goa,5.5,3.3,8.2,11.5,23.6,47.9,100.0,92.2
Gujarat,20.9,7.1,18.9,19.3,12.4,21.3,100.0,73.4
Maharashtra,12.0,6.6,13.6,17.4,18.2,32.2,100.0,82.3
Andaman & Nicobar Islands,8.2,4.2,12.5,22.6,15.1,37.4,100.0,80.5
Andhra Pradesh,27.9,5.5,17.8,9.2,18.5,21.2,100.0,66.7
Karnataka,19.5,5.2,14.1,11.0,22.7,27.5,100.0,73.4
Kerala,0.8,1.8,5.7,14.8,25.8,51.2,100.0,97.4
Lakshadweep,1.8,2.5,12.3,15.6,25.6,42.2,100.0,95.2
Puducherry,6.2,3.3,9.9,15.2,16.7,48.7,100.0,89.7
Tamil Nadu,9.5,5.2,12.4,16.4,17.0,39.6,100.0,84.0
Telangana,32.6,3.2,12.4,6.3,19.0,26.5,100.0,64.8
