State/UT,Men_Reads_Newspaper,Men_Watches_TV,Men_Listens_Radio,Men_Visits_Cinema,Men_No_Media,Men_Used_Internet
India,32.2,55.9,7.6,23.5,31.6,51.2
Chandigarh,29.2,62.9,2.0,7.0,28.9,91.9
Delhi,34.5,71.8,12.8,19.2,17.7,85.2
Haryana,29.4,52.7,6.3,10.1,36.6,72.4
Himachal Pradesh,32.7,58.7,10.4,14.9,30.7,52.7
Jammu & Kashmir,32.2,54.9,27.4,9.2,30.6,62.0
Ladakh,42.7,60.9,32.3,1.1,27.9,47.9
Punjab,16.2,54.8,3.2,16.8,36.1,78.2
Rajasthan,35.1,43.6,4.2,11.6,41.3,65.2
Uttarakhand,25.3,61.2,4.4,6.2,32.5,74.6
Chhattisgarh,24.8,55.1,7.7,20.8,34.5,56.3
Madhya Pradesh,23.4,47.7,6.8,10.1,43.6,55.7
Uttar Pradesh,29.6,42.0,6.7,9.3,45.4,59.1
Bihar,29.0,38.2,5.2,10.0,47.7,35.4
Jharkhand,28.4,34.5,5.5,9.7,53.0,57.9
Odisha,22.9,53.2,3.2,12.4,38.2,50.7
West Bengal,17.1,46.1,2.6,10.0,47.1,41.9
Arunachal Pradesh,7.6,50.6,3.1,9.7,44.2,71.6
Assam,10.4,44.7,3.9,21.0,44.1,36.9
Manipur,36.7,43.4,24.8,4.5,38.1,68.5
Meghalaya,12.8,30.4,6.2,8.4,58.6,36.5
Mizoram,43.0,73.0,9.4,0.8,19.2,67.6
Nagaland,29.4,41.0,4.9,1.9,49.4,52.8
Sikkim,23.4,58.3,7.8,33.3,25.2,64.6
Tripura,14.2,48.3,3.2,3.8,46.2,41.7
Dadra & Nagar Haveli and Daman & Diu,16.4,53.1,2.1,24.0,34.0,61.3
Goa,58.9,93.5,1.9,58.1,2.3,69.7
Gujarat,32.8,55.2,3.2,17.7,33.5,52.6
Maharashtra,40.1,64.5,8.6,29.3,22.3,52.9
Andaman & Nicobar Islands,13.2,86.2,9.4,25.7,9.3,45.6
Andhra Pradesh,35.1,72.8,5.4,51.2,12.8,41.9
Karnataka,42.7,67.7,19.8,49.0,13.1,56.3
Kerala,65.9,75.8,14.7,41.4,7.1,62.5
Lakshadweep,13.3,55.2,17.8,0.0,41.1,80.3
Puducherry,39.5,72.1,13.6,38.8,13.5,80.7
Tamil Nadu,33.7,78.6,12.9,28.8,12.2,70.2
Telangana,41.6,75.2,6.1,48.4,11.8,50.0
