State/UT,Women_Reads_Newspaper,Women_Watches_TV,Women_Listens_Radio,Women_Visits_Cinema,Women_No_Media,Women_Used_Internet
India,14.5,53.5,4.2,9.5,41.2,33.3
Chandigarh,23.9,75.5,2.8,9.8,18.6,75.2
Delhi,20.3,78.3,9.9,18.1,16.4,63.8
Haryana,12.9,62.6,2.1,7.3,32.9,48.4
Himachal Pradesh,17.3,65.5,5.9,8.4,29.3,49.7
Jammu & Kashmir,14.5,46.6,18.5,4.5,44.9,43.3
Ladakh,25.3,51.7,32.2,4.3,34.3,56.4
Punjab,11.6,61.1,2.4,7.6,33.9,54.8
Rajasthan,12.8,46.4,2.8,4.2,49.0,36.9
Uttarakhand,13.1,62.4,2.0,6.2,33.7,45.1
Chhattisgarh,12.9,59.9,3.6,10.2,36.5,26.7
Madhya Pradesh,11.4,48.8,4.2,7.1,46.6,26.9
Uttar Pradesh,9.1,39.1,3.3,5.1,56.5,30.6
Bihar,8.2,27.7,1.6,4.9,67.0,20.6
Jharkhand,9.3,29.7,2.3,5.6,65.3,31.4
Odisha,9.3,59.3,1.4,4.7,37.8,24.9
West Bengal,9.1,52.2,3.0,8.0,44.6,25.5
Arunachal Pradesh,5.5,42.2,2.7,5.8,53.4,52.9
Assam,5.4,35.9,2.0,10.2,57.9,28.2
Manipur,19.5,44.2,19.7,5.1,41.1,44.8
Meghalaya,17.8,46.3,7.5,6.1,46.3,34.7
Mizoram,38.6,68.1,2.4,0.8,26.3,67.6
Nagaland,19.7,39.7,2.2,4.2,52.8,49.9
Sikkim,20.3,55.6,8.0,39.1,27.5,76.7
Tripura,5.9,52.3,0.8,4.2,45.6,22.9
Dadra & Nagar Haveli and Daman & Diu,11.4,72.4,1.1,8.6,25.1,36.7
Goa,47.4,85.0,6.9,46.3,8.0,73.7
Gujarat,17.2,54.6,3.9,10.6,40.2,30.8
Maharashtra,21.0,59.5,5.4,14.8,32.3,38.0
Andaman & Nicobar Islands,9.8,77.9,6.2,23.3,14.9,34.8
Andhra Pradesh,15.9,73.6,1.8,15.9,21.2,21.0
Karnataka,28.6,73.8,10.0,25.6,19.5,35.0
Kerala,58.0,72.2,10.8,11.8,13.3,61.1
Lakshadweep,14.2,61.5,7.4,0.9,33.2,56.3
Puducherry,16.8,80.9,11.9,19.4,12.3,61.9
Tamil Nadu,14.5,83.4,7.2,11.1,12.6,46.9
Telangana,17.1,75.1,2.1,15.7,20.1,26.5
