State/UT,Cloth,Locally prepared napkins,Sanitary napkins,Tampons,Menstrual cup,Other,Nothing,Number of women,Percentage using hygienic method
India,49.6,15.0,64.4,1.7,0.3,0.2,0.2,241112,77.6
Chandigarh,10.7,23.7,72.8,0.0,0.5,0.0,0.0,176,94.5
Delhi,15.9,6.7,94.7,0.1,0.1,0.0,0.1,3540,97.1
Haryana,22.1,15.2,80.8,0.8,0.3,0.1,0.1,4484,93.5
Himachal Pradesh,31.1,6.8,86.4,0.1,0.2,0.1,0.0,1037,92.0
Jammu & Kashmir,58.4,23.1,50.5,3.3,1.3,0.0,0.3,2116,74.5
Ladakh,58.1,19.2,56.4,6.1,1.2,0.0,0.0,35,79.1
Punjab,27.4,26.8,71.2,0.6,0.3,0.0,0.0,4352,93.3
Rajasthan,43.6,10.9,76.6,0.7,0.0,0.0,0.3,16617,84.3
Uttarakhand,38.9,6.6,85.9,0.1,0.1,0.0,0.0,2078,91.5
Chhattisgarh,68.6,10.8,58.5,1.7,0.1,0.1,0.0,6053,69.0
Madhya Pradesh,64.8,11.6,49.8,1.2,0.6,0.3,0.1,14819,60.9
Uttar Pradesh,69.4,16.9,56.5,1.5,0.3,0.1,0.0,47476,72.9
Bihar,67.5,17.3,42.2,1.5,0.1,0.5,0.8,25647,59.2
Jharkhand,56.5,21.9,52.1,2.8,0.6,0.2,0.1,6800,75.1
Odisha,42.8,16.4,68.4,1.1,0.0,0.0,0.0,7338,81.7
West Bengal,42.8,5.0,77.4,2.1,0.1,0.0,0.2,19247,83.4
Arunachal Pradesh,31.5,4.6,88.5,0.4,0.3,0.9,0.1,184,92.0
Assam,69.1,14.3,53.5,2.2,0.9,0.8,0.4,6256,67.0
Manipur,63.9,3.9,81.0,0.1,0.7,0.0,0.9,362,83.4
Meghalaya,63.2,7.5,60.6,1.3,0.0,2.1,0.0,628,65.3
Mizoram,11.1,2.6,88.5,0.3,0.0,3.0,0.9,155,91.0
Nagaland,56.7,3.5,77.7,0.0,0.2,0.7,0.0,231,80.6
Sikkim,24.1,5.8,81.4,0.9,0.0,0.0,0.0,94,86.3
Tripura,56.1,13.3,52.7,3.8,1.0,0.2,2.1,620,69.1
Dadra & Nagar Haveli and Daman & Diu,22.0,26.0,64.3,22.2,0.0,0.6,0.0,88,94.3
Goa,33.6,4.1,92.8,0.0,0.2,0.0,0.0,294,96.8
Gujarat,51.5,27.6,44.1,5.1,0.9,0.9,0.5,10504,66.9
Maharashtra,26.1,12.6,76.1,1.7,0.1,0.6,0.2,19513,85.3
Andaman & Nicobar Islands,8.2,0.6,98.2,0.0,0.0,0.0,0.0,50,98.8
Andhra Pradesh,36.2,16.9,69.2,2.2,0.0,0.3,0.1,7565,85.2
Karnataka,44.2,21.9,69.1,2.9,0.3,0.0,0.2,10837,84.6
Kerala,40.2,2.8,90.6,0.1,0.2,0.0,0.0,4769,93.3
Lakshadweep,21.8,5.5,92.7,0.0,0.0,0.0,0.0,12,98.3
Puducherry,13.2,4.2,98.1,0.0,0.0,0.0,0.0,184,99.1
Tamil Nadu,12.7,17.3,87.4,0.1,0.2,0.0,0.0,11761,98.4
Telangana,17.0,13.4,81.2,3.5,1.1,0.1,0.0,5188,93.4
